Bestand;Lijnnummer;Foutboodschap
"Vestigingen";"4";"Fout bij het inlezen uit bestand, lijn werd overgeslagen"
"klant";"13";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (anna.jansen@example.com).
The statement has been terminated."
"klant";"24";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (anna.jansen@example.com).
The statement has been terminated."
"klant";"28";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (julia.schmidt@example.com).
The statement has been terminated."
"klant";"32";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (anna.jansen@example.com).
The statement has been terminated."
"klant";"43";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (julia.garcia@example.com).
The statement has been terminated."
"klant";"47";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (lucas.kowalski@example.com).
The statement has been terminated."
"klant";"53";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (anna.ivanov@example.com).
The statement has been terminated."
"klant";"55";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (mila.schmidt@example.com).
The statement has been terminated."
"klant";"57";"Violation of UNIQUE KEY constraint 'UQ__tmp_ms_x__A9D10534330C7043'. Cannot insert duplicate key in object 'dbo.Klanten'. The duplicate key value is (julia.garcia@example.com).
The statement has been terminated."
